location	count	condition	conservation
All	6552	all_peaks	conserved
Intron	1038	all_peaks	conserved
Exon	647	all_peaks	conserved
Promoter	3778	all_peaks	conserved
Intergenic	848	all_peaks	conserved
3'	240	all_peaks	conserved
All	4737	all_peaks	not_conserved
Intron	1046	all_peaks	not_conserved
Exon	283	all_peaks	not_conserved
Promoter	1023	all_peaks	not_conserved
Intergenic	2039	all_peaks	not_conserved
3'	356	all_peaks	not_conserved
All	470	network	conserved
Intron	129	network	conserved
Exon	24	network	conserved
Promoter	176	network	conserved
Intergenic	113	network	conserved
3'	28	network	conserved
All	147	network	not_conserved
Intron	37	network	not_conserved
Exon	3	network	not_conserved
Promoter	13	network	not_conserved
Intergenic	84	network	not_conserved
3'	10	network	not_conserved
