GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0031102	neuron projection regeneration	49	13	3.97	0.0001
GO:0031099	regeneration	130	24	10.54	0.00011
GO:0007600	sensory perception	331	47	26.83	0.00011
GO:0060047	heart contraction	131	24	10.62	0.00012
GO:0016477	cell migration	766	91	62.1	0.00013
GO:0007596	blood coagulation	85	18	6.89	0.00013
GO:0044036	cell wall macromolecule metabolic proces...	16	7	1.3	0.00013
GO:0019374	galactolipid metabolic process	32	10	2.59	0.00015
GO:0006486	protein glycosylation	157	27	12.73	0.00015
GO:0043413	macromolecule glycosylation	157	27	12.73	0.00015
GO:0030201	heparan sulfate proteoglycan metabolic p...	8	5	0.65	0.00016
GO:0051274	beta-glucan biosynthetic process	8	5	0.65	0.00016
GO:0007599	hemostasis	87	18	7.05	0.00018
GO:0001963	synaptic transmission, dopaminergic	27	9	2.19	0.00018
GO:1902692	regulation of neuroblast proliferation	39	11	3.16	0.00019
GO:0002052	positive regulation of neuroblast prolif...	33	10	2.68	0.00019
GO:0035094	response to nicotine	33	10	2.68	0.00019
GO:0050793	regulation of developmental process	1381	148	111.96	0.0002
GO:0007269	neurotransmitter secretion	111	21	9	0.0002
GO:0099643	signal release from synapse	111	21	9	0.0002
GO:0046928	regulation of neurotransmitter secretion	59	14	4.78	0.0002
GO:0006956	complement activation	66	15	5.35	0.0002
GO:0007405	neuroblast proliferation	66	15	5.35	0.0002
GO:0044272	sulfur compound biosynthetic process	177	29	14.35	0.0002
GO:0048699	generation of neurons	986	111	79.94	0.00021
GO:0045956	positive regulation of calcium ion-depen...	17	7	1.38	0.00021
GO:0050878	regulation of body fluid levels	144	25	11.67	0.00022
GO:0001505	regulation of neurotransmitter levels	136	24	11.03	0.00023
GO:0002376	immune system process	1148	126	93.07	0.00023
GO:0050789	regulation of biological process	6500	586	526.97	0.00023
GO:0045823	positive regulation of heart contraction	40	11	3.24	0.00024
GO:1903524	positive regulation of blood circulation	40	11	3.24	0.00024
GO:0006813	potassium ion transport	145	25	11.76	0.00025
GO:0051962	positive regulation of nervous system de...	162	27	13.13	0.00025
GO:0035095	behavioral response to nicotine	13	6	1.05	0.00029
GO:0070085	glycosylation	181	29	14.67	0.0003
GO:0016051	carbohydrate biosynthetic process	147	25	11.92	0.00031
GO:0051960	regulation of nervous system development	290	41	23.51	0.00033
GO:0045777	positive regulation of blood pressure	35	10	2.84	0.00033
GO:0015872	dopamine transport	29	9	2.35	0.00033
GO:0030243	cellulose metabolic process	9	5	0.73	0.00033
GO:0008016	regulation of heart contraction	107	20	8.67	0.00034
GO:0015844	monoamine transport	69	15	5.59	0.00034
GO:0019229	regulation of vasoconstriction	62	14	5.03	0.00035
GO:0051588	regulation of neurotransmitter transport	62	14	5.03	0.00035
GO:0010631	epithelial cell migration	210	32	17.03	0.00038
GO:0090130	tissue migration	211	32	17.11	0.00042
GO:0090132	epithelium migration	211	32	17.11	0.00042
GO:0048678	response to axon injury	63	14	5.11	0.00042
GO:0048870	cell motility	899	101	72.88	0.00043
GO:0006681	galactosylceramide metabolic process	30	9	2.43	0.00044
GO:0009888	tissue development	1299	138	105.31	0.00048
GO:0015807	L-amino acid transport	71	15	5.76	0.00048
GO:0001778	plasma membrane repair	19	7	1.54	0.00048
GO:0006937	regulation of muscle contraction	102	19	8.27	0.00049
GO:0007218	neuropeptide signaling pathway	50	12	4.05	0.00051
GO:0015837	amine transport	79	16	6.4	0.00051
GO:0051952	regulation of amine transport	79	16	6.4	0.00051
GO:0006957	complement activation, alternative pathw...	3	3	0.24	0.00053
